gen,best_exp_1,median_exp_1,best_passes_exp_1,med_passes_exp_1
1,25.959999999999997,0.3,0.00,0.00
2,26.04,1.2,0.00,0.00
3,27.299999999999994,4.58,0.00,0.00
4,26.839999999999996,7.26,0.00,0.00
5,27.93999999999999,9.459999999999997,0.00,0.00
6,27.26,10.599999999999998,0.00,0.00
7,27.439999999999998,11.439999999999998,0.00,0.00
8,27.679999999999996,12.559999999999997,0.00,0.00
9,26.599999999999994,12.599999999999998,0.00,0.00
10,26.8,12.74,0.00,0.00
11,27.8,12.26,0.00,0.00
12,27.520000000000003,12.739999999999998,0.00,0.00
13,27.660000000000004,12.499999999999996,0.00,0.00
14,27.71999999999999,12.939999999999998,0.00,0.00
15,27.98,12.68,0.00,0.00
16,27.639999999999997,12.5,0.00,0.00
17,28.019999999999992,12.2,0.00,0.00
18,28.04,12.399999999999999,0.00,0.00
19,28.02,12.959999999999997,0.00,0.00
20,27.139999999999997,12.499999999999998,0.00,0.00
21,27.04,12.52,0.00,0.00
22,27.6,12.499999999999996,0.00,0.00
23,27.340000000000003,12.579999999999998,0.00,0.00
24,27.559999999999995,12.759999999999998,0.00,0.00
25,27.359999999999996,12.799999999999999,0.00,0.00
26,27.439999999999998,12.319999999999999,0.00,0.00
27,27.28,12.679999999999998,0.00,0.00
28,27.679999999999996,12.52,0.00,0.00
29,26.76,12.7,0.00,0.00
30,27.2,12.459999999999999,0.00,0.00
31,27.080000000000002,12.499999999999998,0.00,0.00
32,27.24,12.2,0.00,0.00
33,27.98,12.58,0.00,0.00
34,27.6,12.179999999999998,0.00,0.00
35,27.18,12.820000000000002,0.00,0.00
36,26.959999999999997,12.1,0.00,0.00
37,28.119999999999997,12.399999999999997,0.00,0.00
38,27.799999999999994,12.44,0.00,0.00
39,27.119999999999997,12.459999999999999,0.00,0.00
40,27.499999999999993,12.12,0.00,0.00
41,27.799999999999994,12.419999999999998,0.00,0.00
42,27.079999999999995,12.239999999999998,0.00,0.00
43,28.45999999999999,12.219999999999999,0.00,0.00
44,27.71999999999999,12.48,0.00,0.00
45,27.359999999999996,12.079999999999998,0.00,0.00
46,27.879999999999995,12.799999999999997,0.00,0.00
47,27.839999999999996,12.459999999999999,0.00,0.00
48,27.04,12.439999999999998,0.00,0.00
49,27.52,12.64,0.00,0.00
50,27.7,13.019999999999996,0.00,0.00
