INFO 22:30:58: Loading World
INFO 22:30:58: Making Window
INFO 22:30:58: Creating Threads
INFO 22:30:58: Starting Threads
INFO 22:30:58: Making Agents
INFO 22:30:59: Number of weights: 134
INFO 22:31:22: Gen 0 Best: 100.00, Median: 0.00, 75th: 0.00
INFO 22:31:26: Gen 1 Best: 80.00, Median: 0.00, 75th: 0.00
INFO 22:31:30: Gen 2 Best: 80.00, Median: 0.00, 75th: 0.00
INFO 22:31:33: Gen 3 Best: 80.00, Median: 0.00, 75th: 0.00
INFO 22:31:36: Gen 4 Best: 100.00, Median: 0.00, 75th: 0.00
INFO 22:31:39: Gen 5 Best: 100.00, Median: 0.00, 75th: 0.00
INFO 22:31:42: Gen 6 Best: 105.00, Median: 10.00, 75th: 0.00
INFO 22:31:45: Gen 7 Best: 100.00, Median: 30.00, 75th: 0.00
INFO 22:31:47: Gen 8 Best: 100.00, Median: 35.00, 75th: 5.00
INFO 22:31:49: Gen 9 Best: 110.00, Median: 50.00, 75th: 10.00
INFO 22:31:51: Gen 10 Best: 100.00, Median: 55.00, 75th: 30.00
INFO 22:31:53: Gen 11 Best: 100.00, Median: 60.00, 75th: 35.00
INFO 22:31:55: Gen 12 Best: 105.00, Median: 60.00, 75th: 50.00
INFO 22:31:57: Gen 13 Best: 100.00, Median: 60.00, 75th: 50.00
INFO 22:31:59: Gen 14 Best: 110.00, Median: 60.00, 75th: 55.00
INFO 22:32:01: Gen 15 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:03: Gen 16 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:05: Gen 17 Best: 110.00, Median: 75.00, 75th: 60.00
INFO 22:32:06: Gen 18 Best: 110.00, Median: 60.00, 75th: 60.00
INFO 22:32:08: Gen 19 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:10: Gen 20 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:12: Gen 21 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:13: Gen 22 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:15: Gen 23 Best: 100.00, Median: 75.00, 75th: 60.00
INFO 22:32:17: Gen 24 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:19: Gen 25 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:21: Gen 26 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:22: Gen 27 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:24: Gen 28 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:26: Gen 29 Best: 110.00, Median: 80.00, 75th: 60.00
INFO 22:32:28: Gen 30 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:30: Gen 31 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:31: Gen 32 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:33: Gen 33 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:35: Gen 34 Best: 110.00, Median: 60.00, 75th: 60.00
INFO 22:32:37: Gen 35 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:38: Gen 36 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:40: Gen 37 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:42: Gen 38 Best: 105.00, Median: 75.00, 75th: 60.00
INFO 22:32:44: Gen 39 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:46: Gen 40 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:47: Gen 41 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:49: Gen 42 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:51: Gen 43 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:53: Gen 44 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:32:54: Gen 45 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:32:56: Gen 46 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:32:58: Gen 47 Best: 100.00, Median: 80.00, 75th: 60.00
INFO 22:32:59: Gen 48 Best: 110.00, Median: 80.00, 75th: 60.00
INFO 22:33:01: Gen 49 Best: 110.00, Median: 60.00, 75th: 60.00
INFO 22:33:03: Gen 50 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:05: Gen 51 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:33:06: Gen 52 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:08: Gen 53 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:10: Gen 54 Best: 105.00, Median: 75.00, 75th: 60.00
INFO 22:33:12: Gen 55 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:13: Gen 56 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:15: Gen 57 Best: 100.00, Median: 80.00, 75th: 60.00
INFO 22:33:17: Gen 58 Best: 100.00, Median: 60.00, 75th: 60.00
INFO 22:33:19: Gen 59 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:20: Gen 60 Best: 100.00, Median: 80.00, 75th: 60.00
INFO 22:33:22: Gen 61 Best: 105.00, Median: 80.00, 75th: 60.00
INFO 22:33:24: Gen 62 Best: 105.00, Median: 60.00, 75th: 60.00
INFO 22:33:26: Gen 63 Best: 100.00, Median: 80.00, 75th: 60.00
INFO 22:33:27: Gen 64 Best: 105.00, Median: 80.00, 75th: 60.00
