INFO 03:31:41: Loading World
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:31:41: Architecture: [(3, 3), (6, 2)]
INFO 03:31:41: Number of weights: 26
INFO 03:31:48: Gen 0 Best: 22.00, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:52: Gen 1 Best: 21.00, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:55: Gen 2 Best: 28.20, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:58: Gen 3 Best: 28.00, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:02: Gen 4 Best: 24.60, Median: 7.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:04: Gen 5 Best: 33.00, Median: 9.40, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:07: Gen 6 Best: 29.80, Median: 13.40, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:32:09: Gen 7 Best: 28.00, Median: 13.40, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:32:12: Gen 8 Best: 28.20, Median: 13.60, 75th: 9.00, Best Passes: 0, Median Passes: 0
INFO 03:32:14: Gen 9 Best: 27.80, Median: 14.60, 75th: 9.20, Best Passes: 0, Median Passes: 0
INFO 03:32:17: Gen 10 Best: 25.60, Median: 15.00, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:32:19: Gen 11 Best: 29.40, Median: 14.60, 75th: 10.00, Best Passes: 0, Median Passes: 0
INFO 03:32:22: Gen 12 Best: 28.80, Median: 15.60, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:32:24: Gen 13 Best: 26.60, Median: 14.80, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:32:26: Gen 14 Best: 28.20, Median: 14.80, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:32:28: Gen 15 Best: 26.60, Median: 15.00, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:32:30: Gen 16 Best: 31.80, Median: 16.80, 75th: 13.00, Best Passes: 0, Median Passes: 0
INFO 03:32:32: Gen 17 Best: 28.00, Median: 14.00, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:32:34: Gen 18 Best: 34.40, Median: 16.00, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:32:36: Gen 19 Best: 40.80, Median: 15.60, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:32:38: Gen 20 Best: 30.60, Median: 15.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:32:39: Gen 21 Best: 30.00, Median: 13.80, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:32:41: Gen 22 Best: 33.00, Median: 16.20, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:32:43: Gen 23 Best: 31.80, Median: 16.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:32:45: Gen 24 Best: 29.80, Median: 16.80, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:32:47: Gen 25 Best: 27.00, Median: 16.00, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:32:49: Gen 26 Best: 26.00, Median: 16.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:32:51: Gen 27 Best: 30.00, Median: 16.80, 75th: 12.80, Best Passes: 0, Median Passes: 0
INFO 03:32:52: Gen 28 Best: 30.20, Median: 16.40, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:32:54: Gen 29 Best: 24.60, Median: 16.60, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:32:56: Gen 30 Best: 28.60, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:32:57: Gen 31 Best: 28.40, Median: 15.00, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:32:59: Gen 32 Best: 30.00, Median: 14.80, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:33:01: Gen 33 Best: 28.00, Median: 13.80, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:33:02: Gen 34 Best: 29.20, Median: 14.40, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:33:04: Gen 35 Best: 28.60, Median: 14.20, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:33:05: Gen 36 Best: 33.40, Median: 15.60, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:33:07: Gen 37 Best: 27.00, Median: 14.60, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:33:08: Gen 38 Best: 31.20, Median: 13.80, 75th: 10.80, Best Passes: 0, Median Passes: 0
