INFO 03:31:41: Loading World
INFO 03:31:41: Making Window
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:31:41: Architecture: [(3, 3), (6, 3)]
INFO 03:31:41: Number of weights: 33
INFO 03:31:59: Gen 0 Best: 53.60, Median: 0.00, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:32:03: Gen 1 Best: 23.60, Median: 0.00, 75th: 0.00, Best Passes: 1, Median Passes: 0
INFO 03:32:07: Gen 2 Best: 28.40, Median: 0.00, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:32:10: Gen 3 Best: 44.60, Median: 0.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:32:13: Gen 4 Best: 56.00, Median: 1.00, 75th: 0.00, Best Passes: 6, Median Passes: 0
INFO 03:32:15: Gen 5 Best: 58.80, Median: 2.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:32:15: No path to: (3, 11) from (3, 11)
INFO 03:32:18: Gen 6 Best: 38.80, Median: 2.00, 75th: 0.00, Best Passes: 2, Median Passes: 1
INFO 03:32:21: Gen 7 Best: 56.80, Median: 4.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:32:24: Gen 8 Best: 56.80, Median: 9.80, 75th: 1.00, Best Passes: 5, Median Passes: 0
INFO 03:32:27: Gen 9 Best: 50.40, Median: 11.40, 75th: 2.00, Best Passes: 4, Median Passes: 0
INFO 03:32:29: Gen 10 Best: 51.00, Median: 11.00, 75th: 2.00, Best Passes: 3, Median Passes: 0
INFO 03:32:33: Gen 11 Best: 64.60, Median: 11.80, 75th: 2.00, Best Passes: 5, Median Passes: 0
INFO 03:32:35: Gen 12 Best: 48.20, Median: 14.00, 75th: 6.00, Best Passes: 4, Median Passes: 0
INFO 03:32:38: Gen 13 Best: 56.60, Median: 15.20, 75th: 10.20, Best Passes: 3, Median Passes: 0
INFO 03:32:41: Gen 14 Best: 60.80, Median: 15.20, 75th: 11.20, Best Passes: 4, Median Passes: 0
INFO 03:32:43: Gen 15 Best: 59.00, Median: 13.60, 75th: 9.00, Best Passes: 4, Median Passes: 0
INFO 03:32:46: Gen 16 Best: 59.20, Median: 15.20, 75th: 12.00, Best Passes: 6, Median Passes: 0
INFO 03:32:48: Gen 17 Best: 62.40, Median: 15.60, 75th: 11.20, Best Passes: 6, Median Passes: 0
INFO 03:32:51: Gen 18 Best: 56.60, Median: 15.00, 75th: 10.80, Best Passes: 5, Median Passes: 0
INFO 03:32:53: Gen 19 Best: 66.00, Median: 16.00, 75th: 10.80, Best Passes: 5, Median Passes: 0
INFO 03:32:55: Gen 20 Best: 59.60, Median: 16.00, 75th: 8.80, Best Passes: 4, Median Passes: 0
INFO 03:32:57: Gen 21 Best: 67.80, Median: 14.40, 75th: 9.80, Best Passes: 5, Median Passes: 0
INFO 03:32:59: Gen 22 Best: 57.80, Median: 15.60, 75th: 10.40, Best Passes: 6, Median Passes: 0
INFO 03:33:01: Gen 23 Best: 68.80, Median: 16.60, 75th: 13.40, Best Passes: 5, Median Passes: 0
INFO 03:33:03: Gen 24 Best: 61.40, Median: 15.60, 75th: 10.00, Best Passes: 4, Median Passes: 0
INFO 03:33:05: Gen 25 Best: 58.00, Median: 15.20, 75th: 9.40, Best Passes: 4, Median Passes: 0
INFO 03:33:05: No path to: (3, 11) from (3, 11)
INFO 03:33:06: Gen 26 Best: 54.20, Median: 14.40, 75th: 8.60, Best Passes: 3, Median Passes: 0
INFO 03:33:08: Gen 27 Best: 60.20, Median: 17.00, 75th: 9.20, Best Passes: 4, Median Passes: 0
INFO 03:33:10: Gen 28 Best: 57.60, Median: 14.80, 75th: 9.80, Best Passes: 4, Median Passes: 0
INFO 03:33:12: Gen 29 Best: 67.00, Median: 15.60, 75th: 7.60, Best Passes: 4, Median Passes: 0
INFO 03:33:14: Gen 30 Best: 62.60, Median: 15.80, 75th: 11.40, Best Passes: 5, Median Passes: 0
INFO 03:33:15: Gen 31 Best: 86.00, Median: 17.60, 75th: 10.20, Best Passes: 5, Median Passes: 0
INFO 03:33:17: Gen 32 Best: 66.20, Median: 17.00, 75th: 10.60, Best Passes: 4, Median Passes: 0
INFO 03:33:19: Gen 33 Best: 87.60, Median: 15.80, 75th: 9.00, Best Passes: 5, Median Passes: 0
INFO 03:33:20: Gen 34 Best: 63.20, Median: 18.60, 75th: 12.60, Best Passes: 5, Median Passes: 0
INFO 03:33:22: Gen 35 Best: 74.80, Median: 14.40, 75th: 10.20, Best Passes: 5, Median Passes: 0
INFO 03:33:24: Gen 36 Best: 56.20, Median: 16.40, 75th: 8.60, Best Passes: 5, Median Passes: 0
INFO 03:33:26: Gen 37 Best: 66.20, Median: 16.60, 75th: 10.40, Best Passes: 5, Median Passes: 0
INFO 03:33:27: Gen 38 Best: 67.60, Median: 16.80, 75th: 10.00, Best Passes: 5, Median Passes: 0
INFO 03:33:29: Gen 39 Best: 86.80, Median: 13.80, 75th: 10.40, Best Passes: 5, Median Passes: 0
INFO 03:33:31: Gen 40 Best: 61.20, Median: 16.60, 75th: 12.40, Best Passes: 7, Median Passes: 0
INFO 03:33:32: Gen 41 Best: 60.60, Median: 16.00, 75th: 11.60, Best Passes: 5, Median Passes: 0
INFO 03:33:34: Gen 42 Best: 68.40, Median: 15.60, 75th: 11.60, Best Passes: 6, Median Passes: 0
INFO 03:33:35: Gen 43 Best: 87.60, Median: 16.20, 75th: 11.00, Best Passes: 6, Median Passes: 0
INFO 03:33:37: Gen 44 Best: 59.00, Median: 16.00, 75th: 10.60, Best Passes: 3, Median Passes: 0
INFO 03:33:39: Gen 45 Best: 88.20, Median: 16.40, 75th: 10.80, Best Passes: 6, Median Passes: 0
INFO 03:33:41: Gen 46 Best: 88.80, Median: 16.20, 75th: 12.20, Best Passes: 5, Median Passes: 0
INFO 03:33:42: Gen 47 Best: 89.00, Median: 17.40, 75th: 11.60, Best Passes: 6, Median Passes: 0
INFO 03:33:44: Gen 48 Best: 87.80, Median: 16.60, 75th: 11.80, Best Passes: 6, Median Passes: 0
INFO 03:33:45: Gen 49 Best: 86.80, Median: 17.00, 75th: 11.60, Best Passes: 6, Median Passes: 0
INFO 03:33:45: Making Agents
INFO 03:33:45: Architecture: [(3, 3), (6, 3)]
INFO 03:33:45: Number of weights: 33
INFO 03:33:46: Gen 0 Best: 26.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:48: Gen 1 Best: 21.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:49: Gen 2 Best: 30.60, Median: 0.00, 75th: 0.00, Best Passes: 2, Median Passes: 0
INFO 03:33:50: Gen 3 Best: 24.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:51: Gen 4 Best: 32.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:52: Gen 5 Best: 58.40, Median: 2.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:33:54: Gen 6 Best: 30.40, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:55: Gen 7 Best: 49.20, Median: 7.60, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:33:57: Gen 8 Best: 45.00, Median: 10.60, 75th: 1.00, Best Passes: 4, Median Passes: 0
INFO 03:33:58: Gen 9 Best: 53.40, Median: 12.80, 75th: 2.00, Best Passes: 3, Median Passes: 0
INFO 03:34:00: Gen 10 Best: 53.60, Median: 14.00, 75th: 8.80, Best Passes: 3, Median Passes: 0
INFO 03:34:01: Gen 11 Best: 56.00, Median: 12.00, 75th: 6.00, Best Passes: 6, Median Passes: 0
INFO 03:34:03: Gen 12 Best: 41.40, Median: 13.80, 75th: 8.00, Best Passes: 2, Median Passes: 0
INFO 03:34:05: Gen 13 Best: 47.20, Median: 15.20, 75th: 9.00, Best Passes: 3, Median Passes: 0
INFO 03:34:06: Gen 14 Best: 61.60, Median: 13.80, 75th: 10.20, Best Passes: 4, Median Passes: 0
INFO 03:34:08: Gen 15 Best: 55.80, Median: 14.20, 75th: 11.40, Best Passes: 4, Median Passes: 0
INFO 03:34:09: Gen 16 Best: 57.80, Median: 15.00, 75th: 10.80, Best Passes: 5, Median Passes: 0
INFO 03:34:11: Gen 17 Best: 51.40, Median: 15.80, 75th: 9.40, Best Passes: 4, Median Passes: 0
INFO 03:34:12: Gen 18 Best: 60.60, Median: 15.00, 75th: 11.80, Best Passes: 4, Median Passes: 0
INFO 03:34:14: Gen 19 Best: 75.40, Median: 14.80, 75th: 10.40, Best Passes: 4, Median Passes: 0
INFO 03:34:15: Gen 20 Best: 56.00, Median: 16.40, 75th: 11.80, Best Passes: 3, Median Passes: 0
INFO 03:34:17: Gen 21 Best: 51.80, Median: 15.00, 75th: 10.00, Best Passes: 7, Median Passes: 0
INFO 03:34:18: Gen 22 Best: 67.00, Median: 13.80, 75th: 9.40, Best Passes: 4, Median Passes: 0
